Layer,Node,Label,Degree,Strength,PageRank,StrengthPerDegree
1,1,A00w,28,1.318344873,0.023291194,0.047083745
1,2,A03w,28,2.620224903,0.040903949,0.093579461
1,3,A04w,24,1.393079315,0.025025154,0.058044971
1,4,A05w,28,2.049912914,0.033482511,0.073211176
1,5,A09w,20,1.521512887,0.025902877,0.076075644
1,6,A13w,28,2.236812807,0.036112149,0.079886172
1,7,A15w,28,1.992146201,0.032665922,0.071148079
1,8,A76w,23,2.054233551,0.034567472,0.089314502
1,9,A78w,25,1.767539495,0.029314334,0.07070158
1,10,J06w,28,3.46520835,0.052582617,0.123757441
1,11,J11w,25,2.658073191,0.040695649,0.106322928
1,12,J12w,28,2.25987375,0.036605402,0.080709777
1,13,J15w,28,1.678755755,0.028211604,0.059955563
1,14,J17w,28,3.302429846,0.049672133,0.117943923
1,15,J31w,26,2.317423292,0.036240099,0.089131665
1,16,J33w,27,1.608911661,0.027904858,0.059589321
1,17,J34w,28,2.598265039,0.040364799,0.09279518
1,18,J35w,27,1.278337357,0.02291845,0.047345828
1,19,J36w,28,1.418875196,0.024994685,0.050674114
1,20,J38w,28,1.437479055,0.02519717,0.051338538
1,21,T17w,28,1.997648947,0.032906667,0.071344605
1,22,T25b,28,2.208538206,0.035144663,0.078876365
1,23,T50b,28,1.500171892,0.026202959,0.053577568
1,24,T66w,25,2.962369424,0.044961659,0.118494777
1,25,T69b,28,2.11978294,0.034492526,0.075706534
1,26,T76w,25,3.090895958,0.046694191,0.123635838
1,27,T79w,28,2.984839337,0.045767923,0.106601405
1,28,T99b,27,1.053052153,0.019744117,0.039001932
1,29,Y27b,28,3.116449063,0.047432269,0.111301752
2,1,A00w,28,6.848,0.050310703,0.244571429
2,2,A03w,23,3.255,0.027164925,0.141521739
2,3,A04w,8,2.332,0.020533381,0.2915
2,4,A05w,22,6.638,0.048701292,0.301727273
2,5,A09w,22,6.26,0.045847471,0.284545455
2,6,A13w,22,6.12,0.045028519,0.278181818
2,7,A15w,22,6.335,0.046416311,0.287954545
2,8,A76w,19,4.437,0.034455042,0.233526316
2,9,A78w,24,2.958,0.025311958,0.12325
2,10,J06w,24,6.867,0.050467969,0.286125
2,11,J11w,24,4.132,0.032611894,0.172166667
2,12,J12w,20,5.196,0.038974484,0.2598
2,13,J15w,21,2.062,0.018831906,0.098190476
2,14,J17w,20,4.035,0.031894351,0.20175
2,15,J31w,26,4.29,0.034355241,0.165
2,16,J33w,21,5.27,0.039960524,0.250952381
2,17,J34w,16,3.915,0.031315849,0.2446875
2,18,J35w,20,1.799,0.017973074,0.08995
2,19,J36w,25,9.098,0.064608541,0.36392
2,20,J38w,25,2.482,0.022048241,0.09928
2,21,T17w,16,2.547,0.022511006,0.1591875
2,22,T25b,19,1.751,0.016789548,0.092157895
2,23,T50b,13,1.573,0.016149643,0.121
2,24,T66w,25,4.915,0.037906115,0.1966
2,25,T69b,21,7.959,0.056416194,0.379
2,26,T76w,26,4.657,0.036698896,0.179115385
2,27,T79w,21,4.602,0.035158874,0.219142857
2,28,T99b,21,1.514,0.01592084,0.072095238
2,29,Y27b,20,4.637,0.035637209,0.23185
3,1,A00w,26,7.036138337,0.028018749,0.270620705
3,2,A03w,28,10.85834898,0.040818774,0.387798178
3,3,A04w,19,1.665141816,0.011800859,0.087639043
3,4,A05w,28,10.94868086,0.041161436,0.391024316
3,5,A09w,13,11.81789405,0.044521083,0.909068773
3,6,A13w,27,12.07605949,0.044535676,0.447261463
3,7,A15w,28,10.61781591,0.03971018,0.379207711
3,8,A76w,20,3.315042529,0.018226555,0.165752126
3,9,A78w,25,7.68433452,0.030009677,0.307373381
3,10,J06w,28,12.11279761,0.044761497,0.432599915
3,11,J11w,25,6.920955925,0.027640812,0.276838237
3,12,J12w,28,13.38571517,0.049165642,0.478061256
3,13,J15w,28,13.13288098,0.04846519,0.469031464
3,14,J17w,28,9.810085299,0.037102263,0.350360189
3,15,J31w,25,11.17320172,0.041502431,0.446928069
3,16,J33w,27,7.494007806,0.029610492,0.277555845
3,17,J34w,27,8.665473277,0.033366077,0.320943455
3,18,J35w,27,7.600769846,0.029787539,0.281509994
3,19,J36w,28,7.758932551,0.030459221,0.277104734
3,20,J38w,25,7.452145689,0.029358394,0.298085828
3,21,T17w,26,5.547058877,0.023271781,0.213348418
3,22,T25b,28,5.786040066,0.023866695,0.206644288
3,23,T50b,26,4.811957397,0.020823427,0.185075285
3,24,T66w,25,9.69041021,0.036653415,0.387616408
3,25,T69b,28,13.78299959,0.050234265,0.492249985
3,26,T76w,25,9.214495355,0.03507275,0.368579814
3,27,T79w,27,10.15540851,0.038393989,0.376126241
3,28,T99b,27,8.069226943,0.031799311,0.298860257
3,29,Y27b,28,10.62659524,0.039861819,0.379521259
Aggr,1,A00w,28,15.20248321,0.033967493,0.542945829
Aggr,2,A03w,28,16.73357388,0.036916221,0.597627639
Aggr,3,A04w,24,5.390221131,0.015741883,0.224592547
Aggr,4,A05w,28,19.63659377,0.042248926,0.70130692
Aggr,5,A09w,28,19.59940694,0.041935301,0.699978819
Aggr,6,A13w,28,20.43287229,0.043611961,0.729745439
Aggr,7,A15w,28,18.94496212,0.040739754,0.67660579
Aggr,8,A76w,23,9.80627608,0.024377156,0.42635983
Aggr,9,A78w,26,12.40987402,0.028538331,0.477302847
Aggr,10,J06w,28,22.44500596,0.047518924,0.801607356
Aggr,11,J11w,26,13.71102912,0.030923944,0.527347274
Aggr,12,J12w,28,20.84158892,0.044497632,0.744342461
Aggr,13,J15w,28,16.87363673,0.037086348,0.602629883
Aggr,14,J17w,28,17.14751515,0.037433756,0.612411255
Aggr,15,J31w,27,17.78062501,0.0388545,0.658541667
Aggr,16,J33w,28,14.37291947,0.032727938,0.513318553
Aggr,17,J34w,28,15.17873832,0.033787073,0.542097797
Aggr,18,J35w,28,10.6781072,0.025388344,0.381360971
Aggr,19,J36w,28,18.27580775,0.03984302,0.65270742
Aggr,20,J38w,28,11.37162474,0.026761295,0.406129455
Aggr,21,T17w,28,10.09170782,0.024342331,0.360418136
Aggr,22,T25b,28,9.745578272,0.023437724,0.348056367
Aggr,23,T50b,28,7.885129289,0.020136969,0.28161176
Aggr,24,T66w,26,17.56777963,0.038217079,0.675683832
Aggr,25,T69b,28,23.86178253,0.050056721,0.852206519
Aggr,26,T76w,26,16.96239131,0.037085202,0.652399666
Aggr,27,T79w,28,17.74224784,0.038652028,0.633651709
Aggr,28,T99b,28,10.6362791,0.02540049,0.379867111
Aggr,29,Y27b,28,18.3800443,0.039771657,0.656430154
